make,model,engine_code,engine_name,displacement,oilNorm,oilCapacity,brakeFluidType,coolantType,gearboxOilType,gearboxOilCapacity
Honda,Civic I,D16Y8,1.6L SOHC VTEC,1.6L,10W-40,4.0L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic I,1.5,1.5L 16V,1.5L,10W-40,3.8L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic II,1.3,1.3L i-VTEC,1.3L,5W-30,3.5L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic II,1.5,1.5L i-VTEC,1.5L,5W-30,3.8L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic II,1.8,1.8L i-VTEC,1.8L,5W-30,4.0L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic III,1.3,1.3L i-VTEC,1.3L,5W-30,3.5L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic III,1.5T,1.5L Turbo,1.5L,5W-30,3.8L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic III,1.8,1.8L i-VTEC,1.8L,5W-30,4.0L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic IV,1.5T,1.5L Turbo,1.5L,0W-20,3.8L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic IV,2.0,2.0L i-VTEC,2.0L,0W-20,4.5L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Honda,Civic IV,2.0T,2.0L Turbo Type R,2.0L,0W-20,4.5L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
Peugeot,106,TU1JP,1.0L 8V,1.0L,10W-40,3.0L,DOT 4,G12,75W-90 API GL-4,2.0L
Peugeot,106,TU3JP,1.1L 8V,1.1L,10W-40,3.5L,DOT 4,G12,75W-90 API GL-4,2.0L
Peugeot,106,TU3A,1.4L 8V,1.4L,10W-40,3.5L,DOT 4,G12,75W-90 API GL-4,2.0L
Toyota,Corolla I,1ZZ-FE,1.8L DOHC,1.8L,5W-30,4.5L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla I,1.6,1.6L DOHC,1.6L,5W-30,4.0L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla I,1.5,1.5L 16V,1.5L,5W-30,3.8L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla II,3ZZ-FE,1.6L DOHC,1.6L,5W-30,4.0L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla II,1ZZ-FE,1.8L DOHC,1.8L,5W-30,4.5L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla II,1.5,1.5L 16V,1.5L,5W-30,3.8L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla III,1.3,1.3L 16V,1.3L,5W-30,3.5L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla III,1.5,1.5L 16V,1.5L,5W-30,3.8L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla III,1.5HSD,1.5L Hybrid,1.5L,5W-30,3.8L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla IV,1.2T,1.2L Turbo,1.2L,0W-20,3.5L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla IV,1.5,1.5L 16V,1.5L,0W-20,4.0L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Toyota,Corolla IV,1.5HSD,1.5L Hybrid,1.5L,0W-20,4.0L,DOT 4,Toyota Genuine Coolant Pink,75W-90 API GL-4,2.0L
Volkswagen,Golf I,1.1,1.1L 4-cyl,1.1L,10W-40,3.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf I,1.5,1.5L 4-cyl,1.5L,10W-40,3.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf I,1.6,1.6L 4-cyl,1.6L,10W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf II,1.3,1.3L 4-cyl,1.3L,10W-40,3.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf II,1.8,1.8L 4-cyl,1.8L,10W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf II,1.6D,1.6L Diesel,1.6L,15W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf III,1.4,1.4L 8V,1.4L,10W-40,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf III,1.6,1.6L 8V,1.6L,10W-40,3.8L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf III,2.0,2.0L 4-cyl,2.0L,10W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf III,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf IV,1.4,1.4L 16V,1.4L,10W-40,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf IV,1.6,1.6L 8V,1.6L,10W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf IV,1.8T,1.8L Turbo,1.8L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf IV,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf V,1.4,1.4L 8V,1.4L,10W-40,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf V,1.6FSI,1.6L FSI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf V,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf V,1.4TSI,1.4L TSI,1.4L,5W-30,3.8L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VI,1.2,1.2L 8V,1.2L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VI,1.2TSI,1.2L TSI,1.2L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VI,1.4,1.4L 16V,1.4L,5W-30,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VI,1.4TSI,1.4L TSI,1.4L,5W-30,3.8L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VI,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VI,2.0TDI,2.0L TDI,2.0L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VII,1.2TSI,1.2L TSI,1.2L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VII,1.4TSI,1.4L TSI,1.4L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VII,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VII,2.0TSI,2.0L TSI (GTI),2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VIII,1.0TSI,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VIII,1.5TSI,1.5L TSI,1.5L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VIII,2.0TSI,2.0L TSI (GTI/R),2.0L,5W-40,5.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Golf VIII,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta I,1.4,1.4L 8V,1.4L,5W-40,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta I,1.6,1.6L 8V,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta I,2.0,2.0L 8V,2.0L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta I,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta II,1.4TSI,1.4L TSI,1.4L,5W-30,3.8L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta II,1.6,1.6L 8V,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta II,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta II,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta II,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta III,1.0TSI,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta III,1.5TSI,1.5L TSI,1.5L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta III,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta III,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Jetta III,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat I,1.6,1.6L 8V,1.6L,10W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat I,1.8,1.8L 4V,1.8L,10W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat I,2.0,2.0L 4V,2.0L,10W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat I,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat II,1.6FSI,1.6L FSI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat II,2.0FSI,2.0L FSI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat II,3.6FSI,3.6L FSI V6,3.6L,5W-40,5.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat II,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat II,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat III,1.4TSI,1.4L TSI,1.4L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat III,1.8TSI,1.8L TSI,1.8L,5W-30,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat III,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat III,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat III,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat IV,1.5TSI,1.5L TSI,1.5L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat IV,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat IV,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Passat IV,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo I,CG,1.0L 4-cyl,1.0L,10W-40,3.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo II,AER,1.3L 8V,1.3L,10W-40,3.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo II,1.4L 60,1.4L 8V,1.4L,10W-40,3.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo III,AEE,1.4L 8V,1.4L,10W-40,3.8L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo III,AGR,1.9L TDI,1.9L,5W-40,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo IV,BBY,1.2L 8V,1.2L,10W-40,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo IV,BMD,1.4 16V,1.4L,10W-40,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo IV,AXR,1.4 TDI,1.4L,5W-40,3.8L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo V,CHYA,1.2L TSI,1.2L,5W-30,3.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo V,CPH,1.2L TSI,1.2L,5W-30,3.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VI,1.2,1.2L 8V,1.2L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VI,1.2TSI,1.2L TSI,1.2L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VI,1.2TDI,1.2L TDI,1.2L,5W-40,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VI,1.4,1.4L 16V,1.4L,5W-30,3.6L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VI,CZCA,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VI,CHZ,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VII,CHZ,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VII,CZEA,1.5L TSI,1.5L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VIII,1.0 TSI 95,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VIII,1.0 TSI 110,1.0L TSI,1.0L,5W-30,3.2L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Volkswagen,Polo VIII,1.5 TSI 150,1.5L TSI,1.5L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
