make,model,engine_code,engine_name,displacement,oilNorm,oilCapacity,brakeFluidType,coolantType,gearboxOilType,gearboxOilCapacity
Toyota,Corolla II,1.5,1.5L 16V,1.5L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla III,1.3,1.3L 16V,1.3L,5W-30,3.5L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla III,1.5,1.5L 16V,1.5L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla III,1.5HSD,1.5L Hybrid,1.5L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla IV,1.2T,1.2L Turbo,1.2L,0W-20,3.5L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla IV,1.5,1.5L 16V,1.5L,0W-20,4.0L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla IV,1.5HSD,1.5L Hybrid,1.5L,0W-20,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf I,1.1,1.1L 4-cyl,1.1L,10W-40,3.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf I,1.5,1.5L 4-cyl,1.5L,10W-40,3.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf I,1.6,1.6L 4-cyl,1.6L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf II,1.3,1.3L 4-cyl,1.3L,10W-40,3.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf II,1.8,1.8L 4-cyl,1.8L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf II,1.6D,1.6L Diesel,1.6L,15W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf III,1.4,1.4L 8V,1.4L,10W-40,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf III,1.6,1.6L 8V,1.6L,10W-40,3.8L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf III,2.0,2.0L 4-cyl,2.0L,10W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf III,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf IV,1.4,1.4L 16V,1.4L,10W-40,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf IV,1.6,1.6L 8V,1.6L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf IV,1.8T,1.8L Turbo,1.8L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf IV,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf V,1.4,1.4L 8V,1.4L,10W-40,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf V,1.6FSI,1.6L FSI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf V,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf V,1.4TSI,1.4L TSI,1.4L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VI,1.2,1.2L 8V,1.2L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VI,1.2TSI,1.2L TSI,1.2L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VI,1.4,1.4L 16V,1.4L,5W-30,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VI,1.4TSI,1.4L TSI,1.4L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VI,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VI,2.0TDI,2.0L TDI,2.0L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VII,1.2TSI,1.2L TSI,1.2L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VII,1.4TSI,1.4L TSI,1.4L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VII,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VII,2.0TSI,2.0L TSI (GTI),2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VIII,1.0TSI,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VIII,1.5TSI,1.5L TSI,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VIII,2.0TSI,2.0L TSI (GTI/R),2.0L,5W-40,5.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Golf VIII,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta I,1.4,1.4L 8V,1.4L,5W-40,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta I,1.6,1.6L 8V,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta I,2.0,2.0L 8V,2.0L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta I,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta II,1.4TSI,1.4L TSI,1.4L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta II,1.6,1.6L 8V,1.6L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta II,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta II,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta II,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta III,1.0TSI,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta III,1.5TSI,1.5L TSI,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta III,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta III,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Jetta III,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat I,1.6,1.6L 8V,1.6L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat I,1.8,1.8L 4V,1.8L,10W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat I,2.0,2.0L 4V,2.0L,10W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat I,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat II,1.6FSI,1.6L FSI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat II,2.0FSI,2.0L FSI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat II,3.6FSI,3.6L FSI V6,3.6L,5W-40,5.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat II,1.9TDI,1.9L TDI,1.9L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat II,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat III,1.4TSI,1.4L TSI,1.4L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat III,1.8TSI,1.8L TSI,1.8L,5W-30,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat III,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat III,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat III,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat IV,1.5TSI,1.5L TSI,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat IV,2.0TSI,2.0L TSI,2.0L,5W-30,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat IV,1.6TDI,1.6L TDI,1.6L,5W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Passat IV,2.0TDI,2.0L TDI,2.0L,5W-40,5.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo I,CG,1.0L 4-cyl,1.0L,10W-40,3.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo II,AER,1.3L 8V,1.3L,10W-40,3.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo II,1.4L 60,1.4L 8V,1.4L,10W-40,3.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo III,AEE,1.4L 8V,1.4L,10W-40,3.8L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo III,AGR,1.9L TDI,1.9L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo IV,BBY,1.2L 8V,1.2L,10W-40,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo IV,BMD,1.4 16V,1.4L,10W-40,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo IV,AXR,1.4 TDI,1.4L,5W-40,3.8L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo V,CHYA,1.2L TSI,1.2L,5W-30,3.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo V,CPH,1.2L TSI,1.2L,5W-30,3.5L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VI,1.2,1.2L 8V,1.2L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VI,1.2TSI,1.2L TSI,1.2L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VI,1.2TDI,1.2L TDI,1.2L,5W-40,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VI,1.4,1.4L 16V,1.4L,5W-30,3.6L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VI,CZCA,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VI,CHZ,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VII,CHZ,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VII,CZEA,1.5L TSI,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VIII,1.0 TSI 95,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VIII,1.0 TSI 110,1.0L TSI,1.0L,5W-30,3.2L,MISSING,MISSING,MISSING,MISSING
Volkswagen,Polo VIII,1.5 TSI 150,1.5L TSI,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
